Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
2	1929	9.09959	48.3037	109.925	
2	1946	9.11321	48.287	109.92	
2	1963	9.11059	48.2726	109.911	
2	1979	9.11988	48.2513	109.901	
2	1996	9.13531	48.2303	109.902	
2	2013	9.15184	48.2089	109.894	
2	2029	9.16583	48.181	109.89	
2	2046	9.18017	48.1659	109.879	
2	2063	9.19535	48.1503	109.87	
2	2079	9.21201	48.1322	109.856	
2	2096	9.22421	48.1136	109.84	
2	2113	9.23424	48.0925	109.826	
2	2129	9.25276	48.0665	109.83	
2	2146	9.27856	48.0442	109.825	
2	2163	9.29667	48.0296	109.823	
2	2179	9.31146	48.0084	109.827	
2	2196	9.3161	47.9918	109.83	
2	2213	9.35072	47.9766	109.829	
2	2229	9.36464	47.9663	109.84	
2	2246	9.37377	47.947	109.844	
2	2263	9.38768	47.9276	109.85	
2	2279	9.39961	47.9232	109.863	
2	2296	9.40641	47.9061	109.863	
2	2313	9.41251	47.8997	109.848	
2	2329	9.40866	47.8956	109.842	
2	2346	9.41425	47.8892	109.84	
2	2363	9.42224	47.879	109.814	
2	2379	9.42914	47.874	109.806	
2	2396	9.42826	47.8747	109.8	
2	2413	9.43845	47.8702	109.776	
2	2429	9.43981	47.8737	109.771	
2	2446	9.42168	47.8847	109.753	
2	2463	9.42502	47.8888	109.754	
2	2479	9.42215	47.8866	109.737	
2	2496	9.41498	47.9044	109.736	
3	-4	12.5608	52.9776	109.228	
3	13	12.5518	52.9846	109.225	
3	29	12.5521	52.9826	109.222	
3	46	12.5514	52.9889	109.221	
3	63	12.5359	52.9936	109.216	
3	79	12.5352	53.003	109.217	
3	96	12.5272	53.0078	109.225	
3	113	12.5254	53.0153	109.225	
3	129	12.5157	53.017	109.23	
3	146	12.5072	53.0189	109.221	
3	163	12.4969	53.0155	109.234	
3	179	12.4905	53.0239	109.229	
3	196	12.492	53.0229	109.23	
3	213	12.4832	53.0193	109.236	
3	229	12.4748	53.0174	109.241	
3	246	12.476	53.0142	109.236	
3	263	12.4783	53.0127	109.239	
3	279	12.4771	53.0156	109.239	
3	296	12.4695	53.0078	109.235	
3	313	12.4672	53.0108	109.232	
3	329	12.4674	53.0066	109.239	
3	346	12.4793	52.9977	109.245	
3	363	12.4813	52.9931	109.25	
3	379	12.4784	52.9927	109.263	
3	396	12.4778	52.9909	109.274	
3	413	12.4873	52.9864	109.284	
3	429	12.488	52.981	109.294	
3	446	12.4881	52.9786	109.316	
3	463	12.496	52.9769	109.335	
3	479	12.4937	52.9686	109.343	
3	496	12.4978	52.9656	109.351	
3	513	12.4925	52.9505	109.347	
3	529	12.494	52.9372	109.349	
3	546	12.4984	52.9376	109.349	
3	563	12.4911	52.9289	109.35	
3	579	12.5039	52.9207	109.343	
